| Attribute                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:87:17:87:25                   | Ansi             |
| INPUT_RECORD                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:414:25:414:36    | Kernel32         |
| KEY_EVENT_RECORD                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:274:25:274:40    | Kernel32         |
| MENU_EVENT_RECORD                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:399:25:399:41    | Kernel32         |
| MOUSE_EVENT_RECORD                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:315:25:315:42    | Kernel32         |
| SMALL_RECT                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:65:25:65:34      | Kernel32         |
| WINDOW_BUFFER_SIZE_RECORD                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:363:25:363:49    | Kernel32         |
| ZeroWidthSupplier                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:55:25:55:41    | AnsiOutputStream |
| new Callable<Boolean>(...) { ... }               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:161:49:161:82                 | Ansi             |
| new InheritableThreadLocal<Boolean>(...) { ... } | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:176:71:176:101                | Ansi             |
| new IoRunnable(...) { ... }                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:297:29:302:17          | AnsiConsole      |
| new IoRunnable(...) { ... }                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:303:31:309:17          | AnsiConsole      |
| new WidthSupplier(...) { ... }                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:319:29:319:62          | AnsiConsole      |
| new WidthSupplier(...) { ... }                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:321:29:321:36          | AnsiConsole      |
| new Runnable(...) { ... }                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/JansiLoader.java:76:41:76:60   | JansiLoader      |
| new Runnable(...) { ... }                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/test/java/org/fusesource/jansi/AnsiTest.java:43:20:43:54               | AnsiTest         |
| new Runnable(...) { ... }                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/test/java/org/fusesource/jansi/AnsiTest.java:46:20:46:53               | AnsiTest         |
| new FilenameFilter(...) { ... }                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/internal/JansiLoader.java:113:51:113:64 | JansiLoader      |
| new Executable(...) { ... }                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/test/java/org/fusesource/jansi/AnsiRendererTest.java:118:54:118:73     | AnsiRendererTest |
| new Consumer(...) { ... }                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/test/java/org/fusesource/jansi/AnsiTest.java:60:49:60:71               | AnsiTest         |
| new AnsiProcessor(...) { ... }                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/test/java/org/fusesource/jansi/EncodingTest.java:41:29:41:41           | EncodingTest     |
| new AnsiProcessor(...) { ... }                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/test/java/org/fusesource/jansi/EncodingTest.java:70:29:70:41           | EncodingTest     |
| new AnsiOutputStream.WidthSupplier(...) { ... }  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:284:70:284:99          | AnsiConsole      |
| new AnsiOutputStream.WidthSupplier(...) { ... }  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:351:25:351:54          | AnsiConsole      |
| Consumer      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:155:22:155:29              | Ansi             |
| IoRunnable    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:46:22:46:31 | AnsiOutputStream |
| WidthSupplier | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:51:22:51:34 | AnsiOutputStream |
