| ErodingKeyedObjectPool               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:143:16:143:37                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:143:98:145:9                              | ErodingKeyedObjectPool(KeyedObjectPool<K,V>, float)                   |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:143:78:143:95                              | this(...)                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:144:13:144:55                              |
| ErodingKeyedObjectPool               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:143:16:143:37                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:143:98:145:9                              | ErodingKeyedObjectPool(KeyedObjectPool<K,V>, float)                   |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:143:78:143:95                              | new ErodingFactor(...)                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:144:29:144:53                              |
| ErodingKeyedObjectPool               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:127:19:127:40                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:128:91:134:9                              | ErodingKeyedObjectPool(KeyedObjectPool<K,V>, ErodingFactor)           |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:128:17:128:53                              | super(...)                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:127:19:127:40                              |
| ErodingKeyedObjectPool               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:127:19:127:40                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:128:91:134:9                              | ErodingKeyedObjectPool(KeyedObjectPool<K,V>, ErodingFactor)           |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:128:17:128:53                              | new IllegalArgumentException(...)      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:130:23:130:71                              |
| ErodingKeyedObjectPool               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:127:19:127:40                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:128:91:134:9                              | ErodingKeyedObjectPool(KeyedObjectPool<K,V>, ErodingFactor)           |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:128:56:128:88                              | super(...)                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:127:19:127:40                              |
| ErodingKeyedObjectPool               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:127:19:127:40                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:128:91:134:9                              | ErodingKeyedObjectPool(KeyedObjectPool<K,V>, ErodingFactor)           |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:128:56:128:88                              | new IllegalArgumentException(...)      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:130:23:130:71                              |
| ErodingObjectPool                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:16:303:32                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:80:306:9                              | ErodingObjectPool(ObjectPool<T>, float)                               |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:34:303:57                              | super(...)                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:16:303:32                              |
| ErodingObjectPool                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:16:303:32                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:80:306:9                              | ErodingObjectPool(ObjectPool<T>, float)                               |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:34:303:57                              | new ErodingFactor(...)                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:305:27:305:51                              |
| ErodingObjectPool                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:16:303:32                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:80:306:9                              | ErodingObjectPool(ObjectPool<T>, float)                               |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:60:303:77                              | super(...)                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:16:303:32                              |
| ErodingObjectPool                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:16:303:32                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:80:306:9                              | ErodingObjectPool(ObjectPool<T>, float)                               |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:303:60:303:77                              | new ErodingFactor(...)                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:305:27:305:51                              |
| ErodingPerKeyKeyedObjectPool         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:420:16:420:43                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:421:76:424:9                              | ErodingPerKeyKeyedObjectPool(KeyedObjectPool<K,V>, float)             |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:421:17:421:53                              | <obinit>(...)                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:420:16:420:43                              |
| ErodingPerKeyKeyedObjectPool         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:420:16:420:43                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:421:76:424:9                              | ErodingPerKeyKeyedObjectPool(KeyedObjectPool<K,V>, float)             |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:421:17:421:53                              | super(...)                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:422:13:422:35                              |
| ErodingPerKeyKeyedObjectPool         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:420:16:420:43                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:421:76:424:9                              | ErodingPerKeyKeyedObjectPool(KeyedObjectPool<K,V>, float)             |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:421:56:421:73                              | <obinit>(...)                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:420:16:420:43                              |
| ErodingPerKeyKeyedObjectPool         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:420:16:420:43                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:421:76:424:9                              | ErodingPerKeyKeyedObjectPool(KeyedObjectPool<K,V>, float)             |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:421:56:421:73                              | super(...)                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:422:13:422:35                              |
