| new AtomicLong(...)                                  | AtomicLong()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:314:48:314:63               |    0 |      |
| new AtomicLong(...)                                  | AtomicLong()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:315:57:315:72               |    0 |      |
| super(...)                                           | BaseObject()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:51:23:51:43                 |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:64:9:64:24                  |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:107:11:107:17               |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:152:16:152:30               |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:177:43:177:61               |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:200:9:200:18                |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:255:43:255:61               |    0 |      |
| new ArrayList<PooledObject<T>>(...)                  | ArrayList<PooledObject<T>>()                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:377:51:377:67               |    0 |      |
