| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | minusRetainScale                                                              | minusRetainScale(double, RoundingMode)                                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1173:21:1173:36                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1173:90:1180:5                        |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | minusRetainScale                                                              | minusRetainScale(BigDecimal, RoundingMode)                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1145:21:1145:36                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1145:94:1153:5                        |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | minusRetainScale                                                              | minusRetainScale(BigMoneyProvider, RoundingMode)                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1127:21:1127:36                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1127:99:1130:5                        |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | minusMinor                                                                    | minusMinor(long)                                                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1105:21:1105:30                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1105:55:1112:5                        |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | minusMajor                                                                    | minusMajor(long)                                                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1082:21:1082:30                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1082:55:1088:5                        |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | minus                                                                         | minus(double)                                                                                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1060:21:1060:25                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1060:52:1066:5                        |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | minus                                                                         | minus(BigDecimal)                                                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1033:21:1033:25                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1033:56:1040:5                        |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | minus                                                                         | minus(BigMoneyProvider)                                                                           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1015:21:1015:25                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:1015:61:1018:5                        |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | minus                                                                         | minus(Iterable<? extends BigMoneyProvider>)                                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:991:21:991:25                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:991:82:998:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | plusRetainScale                                                               | plusRetainScale(double, RoundingMode)                                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:969:21:969:35                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:969:84:976:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | plusRetainScale                                                               | plusRetainScale(BigDecimal, RoundingMode)                                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:941:21:941:35                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:941:88:949:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | plusRetainScale                                                               | plusRetainScale(BigMoneyProvider, RoundingMode)                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:923:21:923:35                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:923:93:926:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | plusMinor                                                                     | plusMinor(long)                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:901:21:901:29                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:901:49:908:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | plusMajor                                                                     | plusMajor(long)                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:878:21:878:29                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:878:49:884:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | plus                                                                          | plus(double)                                                                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:856:21:856:24                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:856:46:862:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | plus                                                                          | plus(BigDecimal)                                                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:829:21:829:24                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:829:50:836:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | plus                                                                          | plus(BigMoneyProvider)                                                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:811:21:811:24                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:811:55:814:5                          |
