| Consumer      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:155:22:155:29              | apply            | apply(Ansi)        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:156:14:156:18              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:156:14:156:18              |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | a1                                          | a1(String)                                                                                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:778:17:778:18                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:778:34:782:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | boldOff                                     | boldOff()                                                                                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:774:17:774:23                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:774:27:776:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | bold                                        | bold()                                                                                                                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:770:17:770:20                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:770:24:772:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | reset                                       | reset()                                                                                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:766:17:766:21                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:766:25:768:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | restoreCursorPositionDEC                    | restoreCursorPositionDEC()                                                                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:760:17:760:40                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:760:44:764:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | restoreCursorPositionSCO                    | restoreCursorPositionSCO()                                                                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:755:17:755:40                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:755:44:757:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | restoreCursorPosition                       | restoreCursorPosition()                                                                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:749:17:749:37                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:749:41:752:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | saveCursorPositionDEC                       | saveCursorPositionDEC()                                                                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:743:17:743:37                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:743:41:747:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | saveCursorPositionSCO                       | saveCursorPositionSCO()                                                                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:738:17:738:37                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:738:41:740:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | saveCursorPosition                          | saveCursorPosition()                                                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:732:17:732:34                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:732:38:735:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | restorCursorPosition                        | restorCursorPosition()                                                                                                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:728:17:728:36                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:728:40:730:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | scrollDown                                  | scrollDown(int)                                                                                                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:720:17:720:26                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:720:44:725:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | scrollUp                                    | scrollUp(int)                                                                                                                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:713:17:713:24                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:713:42:718:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | eraseLine1                                  | eraseLine1(Erase)                                                                                                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:709:17:709:26                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:709:46:711:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | eraseLine0                                  | eraseLine0()                                                                                                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:705:17:705:26                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:705:30:707:5                                          |
| Ansi                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:29:14:29:17                                           | eraseScreen1                                | eraseScreen1(Erase)                                                                                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:701:17:701:28                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/jansi/src/main/java/org/fusesource/jansi/Ansi.java:701:48:703:5                                          |
