TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
me.lemire.integercompression.differential.IntegratedBitPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6860118465732075,3772,1692
me.lemire.integercompression.differential.IntegratedVariableByte,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8153243726431141,1121,1057
me.lemire.integercompression.differential.XorBinaryPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7755120056497176,1061,855
me.lemire.integercompression.differential.IntegratedComposition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8572463768115942,180,162
me.lemire.longcompression.LongComposition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8001936531734133,186,159
me.lemire.longcompression.LongUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,27,25
me.lemire.longcompression.SkippableLongComposition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8523550724637681,197,186
me.lemire.longcompression.LongVariableByte,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7939527840541843,1453,1358
me.lemire.longcompression.RoaringIntPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9369047619047619,149,137
me.lemire.longcompression.LongJustCopy,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,107,97
me.lemire.longcompression.LongAs2IntsCodec,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8680383183369531,484,471
me.lemire.longcompression.differential.LongDelta,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9371050552922591,759,747
com.kamikaze.pfordelta.Simple16WithHardCodes,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8937074829931972,1333,1290
com.kamikaze.pfordelta.PForDeltaUnpack128WIthIntBuffer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9262096774193549,1603,1544
com.kamikaze.pfordelta.PForDeltaUnpack128,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9347189695550351,1835,1814
com.kamikaze.pfordelta.PForDelta,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8941593777458263,1153,1111
com.kamikaze.pfordelta.Simple16,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9367816091954023,597,587
com.kamikaze.pfordelta.LCPForDelta,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9009915895107523,1194,1123
