| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | create0                                                   | create0(Metadata, NMEAMessage[])                                                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:244:30:244:36                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:244:86:248:5                                     |
| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | decodePayloadToBitString                                  | decodePayloadToBitString(NMEAMessage[])                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:221:29:221:52                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:221:83:234:5                                     |
| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | getNumberOfBits                                           | getNumberOfBits()                                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:214:19:214:33                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:214:37:219:5                                     |
| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | getBits                                                   | getBits(int, int)                                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:210:19:210:25                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:210:57:212:5                                     |
| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | getZeroBitStuffedString                                   | getZeroBitStuffedString(int)                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:198:22:198:44                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:198:60:208:5                                     |
| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | getBitString                                              | getBitString()                                                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:189:22:189:33                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:189:37:196:5                                     |
| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | toString                                                  | toString()                                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:180:19:180:26                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:180:30:187:5                                     |
| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | getSourceMmsi                                             | getSourceMmsi()                                                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:175:20:175:32                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:175:36:177:2                                     |
| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | getRepeatIndicator                                        | getRepeatIndicator()                                                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:170:23:170:40                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:170:44:172:2                                     |
| AISMessage                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:46:23:46:32                                      | setMetadata                                               | setMetadata(Metadata)                                                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:161:20:161:30                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AISMessage.java:161:51:163:2                                     |
