| AddressedBinaryMessage                                             | AddressedBinaryMessage                      | nmeaMessages             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AddressedBinaryMessage.java:47:15:47:36                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AddressedBinaryMessage.java:47:84:49:5                         |
| AddressedBinaryMessage                                             | AddressedBinaryMessage                      | bitString                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AddressedBinaryMessage.java:47:15:47:36                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AddressedBinaryMessage.java:47:84:49:5                         |
| ApplicationSpecificMessage                                         | ApplicationSpecificMessage                  | designatedAreaCode       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ApplicationSpecificMessage.java:65:15:65:40                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ApplicationSpecificMessage.java:65:103:69:5                |
| ApplicationSpecificMessage                                         | ApplicationSpecificMessage                  | functionalId             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ApplicationSpecificMessage.java:65:15:65:40                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ApplicationSpecificMessage.java:65:103:69:5                |
| ApplicationSpecificMessage                                         | ApplicationSpecificMessage                  | binaryData               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ApplicationSpecificMessage.java:65:15:65:40                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ApplicationSpecificMessage.java:65:103:69:5                |
| ApplicationSpecificMessage                                         | create                                      | designatedAreaCode       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ApplicationSpecificMessage.java:19:46:19:51                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ApplicationSpecificMessage.java:19:114:48:5                |
| ApplicationSpecificMessage                                         | create                                      | functionalId             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ApplicationSpecificMessage.java:19:46:19:51                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ApplicationSpecificMessage.java:19:114:48:5                |
| ApplicationSpecificMessage                                         | create                                      | binaryData               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ApplicationSpecificMessage.java:19:46:19:51                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/asm/ApplicationSpecificMessage.java:19:114:48:5                |
| AddressedSafetyRelatedMessage                                      | AddressedSafetyRelatedMessage               | nmeaMessages             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AddressedSafetyRelatedMessage.java:36:15:36:43                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AddressedSafetyRelatedMessage.java:36:91:38:5                  |
| AddressedSafetyRelatedMessage                                      | AddressedSafetyRelatedMessage               | bitString                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AddressedSafetyRelatedMessage.java:36:15:36:43                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AddressedSafetyRelatedMessage.java:36:91:38:5                  |
