| new JDKStringConverter(...) { ... }                                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/JDKStringConverter.java:342:5:342:12                                | JDKStringConverter                       |
| new TypedStringConverter<Object>(...) { ... }                                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/StringConvert.java:62:17:62:44                                      | StringConvert                            |
| new TypedStringConverter<T>(...) { ... }                                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/StringConvert.java:723:21:723:43                                    | StringConvert                            |
| new ClassOwnership(...) { ... }                                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/Types.java:104:9:104:32                                             | ClassOwnership                           |
| new ClassOwnership(...) { ... }                                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/Types.java:111:9:111:32                                             | ClassOwnership                           |
| new LocalClass<String>(...) { ... }                                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/Types.java:129:49:129:66                                            | ClassOwnership                           |
| new TypeVisitor(...) { ... }                                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/Types.java:178:13:178:23                                            | Types                                    |
| new JavaVersion(...) { ... }                                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/Types.java:594:9:594:13                                             | JavaVersion                              |
| new JavaVersion(...) { ... }                                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/Types.java:612:9:612:13                                             | JavaVersion                              |
| new JavaVersion(...) { ... }                                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/Types.java:627:9:627:13                                             | JavaVersion                              |
| new JavaVersion(...) { ... }                                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/Types.java:652:9:652:13                                             | JavaVersion                              |
| new TypeCapture<Entry<String,int[][]>>(...) { ... }                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/Types.java:678:25:678:63                                            | JavaVersion                              |
| new TypeCapture<int[]>(...) { ... }                                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/Types.java:685:28:685:45                                            | JavaVersion                              |
| new BooleanArrayStringConverter(...) { ... }                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/BooleanArrayStringConverterFactory.java:63:9:63:16          | BooleanArrayStringConverter              |
| new BooleanArrayStringConverter(...) { ... }                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/BooleanObjectArrayStringConverterFactory.java:64:9:64:16    | BooleanArrayStringConverter              |
| new ByteArrayStringConverter(...) { ... }                                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/ByteObjectArrayStringConverterFactory.java:64:9:64:16       | ByteArrayStringConverter                 |
| new CharecterArrayStringConverter(...) { ... }                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/CharObjectArrayStringConverterFactory.java:66:9:66:16       | CharecterArrayStringConverter            |
| new LongArrayStringConverter(...) { ... }                                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:77:9:77:16          | LongArrayStringConverter                 |
| new LongArrayStringConverter(...) { ... }                                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:78:9:78:16    | LongArrayStringConverter                 |
| new IntArrayStringConverter(...) { ... }                                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:118:9:118:16        | IntArrayStringConverter                  |
| new IntArrayStringConverter(...) { ... }                                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:121:9:121:16  | IntArrayStringConverter                  |
| new ShortArrayStringConverter(...) { ... }                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:159:9:159:16        | ShortArrayStringConverter                |
| new ShortArrayStringConverter(...) { ... }                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:164:9:164:16  | ShortArrayStringConverter                |
| new DoubleArrayStringConverter(...) { ... }                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:200:9:200:16        | DoubleArrayStringConverter               |
| new DoubleArrayStringConverter(...) { ... }                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:207:9:207:16  | DoubleArrayStringConverter               |
| new FloatArrayStringConverter(...) { ... }                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:241:9:241:16        | FloatArrayStringConverter                |
| new FloatArrayStringConverter(...) { ... }                                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:250:9:250:16  | FloatArrayStringConverter                |
