| ConnectivityBuilder               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/connectivity/ConnectivityBuilder.java:28:18:28:36            | includingVertices                    | includingVertices(V[])                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/connectivity/ConnectivityBuilder.java:43:42:43:58            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/connectivity/ConnectivityBuilder.java:43:42:43:58            |
| ConnectivityBuilder               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/connectivity/ConnectivityBuilder.java:28:18:28:36            | includingAllVertices                 | includingAllVertices()                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/connectivity/ConnectivityBuilder.java:35:42:35:61            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/connectivity/ConnectivityBuilder.java:35:42:35:61            |
| NamedExportSelector               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/export/NamedExportSelector.java:28:18:28:36                  | withName                             | withName(String)                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/export/NamedExportSelector.java:36:26:36:33                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/export/NamedExportSelector.java:36:26:36:33                  |
| ExportSelector                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/export/ExportSelector.java:28:18:28:31                       | usingDotNotation                     | usingDotNotation()                                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/export/ExportSelector.java:36:23:36:38                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/export/ExportSelector.java:36:23:36:38                       |
| RankingSelector                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/elo/RankingSelector.java:27:18:27:32                         | wherePlayersAreRankedIn              | wherePlayersAreRankedIn(PlayersRank<P>)                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/elo/RankingSelector.java:35:23:35:45                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/elo/RankingSelector.java:35:23:35:45                         |
| ColorsBuilder                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColorsBuilder.java:30:18:30:30                      | withColors                           | withColors(Set<C>)                                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColorsBuilder.java:39:45:39:54                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColorsBuilder.java:39:45:39:54                      |
| Mapper                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/Mapper.java:30:18:30:23                                      | map                                  | map(I)                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/Mapper.java:38:7:38:9                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/Mapper.java:38:7:38:9                                        |
| Path                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/Path.java:29:18:29:21                                        | getTarget                            | getTarget()                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/Path.java:43:7:43:15                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/Path.java:43:7:43:15                                         |
| Path                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/Path.java:29:18:29:21                                        | getSource                            | getSource()                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/Path.java:36:7:36:15                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/Path.java:36:7:36:15                                         |
| Weighted                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/Weighted.java:28:18:28:25                                    | getWeight                            | getWeight()                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/Weighted.java:35:7:35:15                                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/Weighted.java:35:7:35:15                                     |
