| Double                                                                                                                                     | Ljava/lang/Double;                                                            |
| void                                                                                                                                       | V                                                                             |
| SpanningTree<BaseLabeledVertex,BaseLabeledWeightedEdge<Double>,Double>                                                                     | Lorg/apache/commons/graph/SpanningTree;                                       |
| DoubleWeightBaseOperations                                                                                                                 | Lorg/apache/commons/graph/weight/primitive/DoubleWeightBaseOperations;        |
| BaseLabeledVertex                                                                                                                          | Lorg/apache/commons/graph/model/BaseLabeledVertex;                            |
| BaseLabeledWeightedEdge<Double>                                                                                                            | Lorg/apache/commons/graph/model/BaseLabeledWeightedEdge;                      |
| Double                                                                                                                                     | Ljava/lang/Double;                                                            |
| Double                                                                                                                                     | Ljava/lang/Double;                                                            |
| ColorsBuilder<V,E>                                                                                                                         | Lorg/apache/commons/graph/coloring/ColorsBuilder;                             |
| V                                                                                                                                          | Lorg/apache/commons/graph/V;                                                  |
| E                                                                                                                                          | Lorg/apache/commons/graph/E;                                                  |
| G                                                                                                                                          | Lorg/apache/commons/graph/G;                                                  |
| UndirectedGraph<V,E>                                                                                                                       | Lorg/apache/commons/graph/UndirectedGraph;                                    |
| V                                                                                                                                          | Lorg/apache/commons/graph/V;                                                  |
| E                                                                                                                                          | Lorg/apache/commons/graph/E;                                                  |
| DefaultColorsBuilder<V,E>                                                                                                                  | Lorg/apache/commons/graph/coloring/DefaultColorsBuilder;                      |
| V                                                                                                                                          | Lorg/apache/commons/graph/V;                                                  |
| E                                                                                                                                          | Lorg/apache/commons/graph/E;                                                  |
| RankingSelector<P>                                                                                                                         | Lorg/apache/commons/graph/elo/RankingSelector;                                |
| P                                                                                                                                          | Lorg/apache/commons/graph/P;                                                  |
| TG                                                                                                                                         | Lorg/apache/commons/graph/TG;                                                 |
| DirectedGraph<P,GameResult>                                                                                                                | Lorg/apache/commons/graph/DirectedGraph;                                      |
