| new UnsupportedOperationException(...)                                             | UnsupportedOperationException()                                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/FibonacciHeap.java:522:15:522:49                           |    0 |      |
| new UnsupportedOperationException(...)                                             | UnsupportedOperationException()                                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/FibonacciHeap.java:531:15:531:49                           |    0 |      |
| new Stack<FibonacciHeapNode<E>>(...)                                               | Stack<FibonacciHeapNode<E>>()                                               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/FibonacciHeap.java:544:45:544:77                           |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/collections/FibonacciHeapNode.java:60:12:60:28                         |    0 |      |
| new HashMap<V,C>(...)                                                              | HashMap<V,C>()                                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColoredVertices.java:38:47:38:65                              |    0 |      |
| new ArrayList<C>(...)                                                              | ArrayList<C>()                                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColoredVertices.java:40:39:40:56                              |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColoredVertices.java:43:5:43:19                               |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/DefaultColoringAlgorithmsSelector.java:45:12:45:44            |    0 |      |
| new ColoredVertices<V,C>(...)                                                      | ColoredVertices<V,C>()                                                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/DefaultColoringAlgorithmsSelector.java:52:47:52:73            |    0 |      |
| new ArrayList<V>(...)                                                              | ArrayList<V>()                                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/DefaultColoringAlgorithmsSelector.java:61:38:61:55            |    0 |      |
| new ColoredVertices<V,C>(...)                                                      | ColoredVertices<V,C>()                                                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/DefaultColoringAlgorithmsSelector.java:78:55:78:81            |    0 |      |
| new UncoloredOrderedVertices<V>(...)                                               | UncoloredOrderedVertices<V>()                                               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/DefaultColoringAlgorithmsSelector.java:81:17:81:49            |    0 |      |
| new ArrayList<V>(...)                                                              | ArrayList<V>()                                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/DefaultColoringAlgorithmsSelector.java:95:44:95:61            |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/DefaultColorsBuilder.java:43:12:43:31                         |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/UncoloredOrderedVertices.java:33:13:33:36                     |    0 |      |
| new HashSet<V>(...)                                                                | HashSet<V>()                                                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/UncoloredOrderedVertices.java:41:24:41:39                     |    0 |      |
| new (...)                                                                          | ()                                                                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/UncoloredOrderedVertices.java:54:16:90:9                      |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/UncoloredOrderedVertices.java:54:20:54:30                     |    0 |      |
| new NoSuchElementException(...)                                                    | NoSuchElementException()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/coloring/UncoloredOrderedVertices.java:80:27:80:54                     |    0 |      |
| new LinkedList<V>(...)                                                             | LinkedList<V>()                                                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/connectivity/ConnectedComponentHandler.java:34:45:34:63                |    0 |      |
| super(...)                                                                         | BaseGraphVisitHandler()                                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/connectivity/ConnectedComponentHandler.java:38:12:38:36                |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/connectivity/DefaultConnectivityAlgorithmsSelector.java:52:12:52:48    |    0 |      |
| new ArrayList<V>(...)                                                              | ArrayList<V>()                                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/connectivity/DefaultConnectivityAlgorithmsSelector.java:59:43:59:60    |    0 |      |
