| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/util/DebugUtils.java:23:14:23:23                          |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/util/MapUtils.java:27:14:27:21                            |    0 |      |
| new HashMap<String,V>(...)            | HashMap<String,V>()            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/util/MapUtils.java:75:39:75:53                            |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/util/StringUtils.java:32:14:32:24                         |    0 |      |
| new StringBuilder(...)                | StringBuilder()                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/util/StringUtils.java:88:35:88:53                         |    0 |      |
| new ArrayList<String>(...)            | ArrayList<String>()            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/util/StringUtils.java:110:38:110:54                       |    0 |      |
| new StringBuffer(...)                 | StringBuffer()                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/util/StringUtils.java:142:37:142:54                       |    0 |      |
| new StringBuilder(...)                | StringBuilder()                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/util/StringUtils.java:162:47:162:65                       |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/AbstractExecTest.java:22:23:22:38                         |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                          |    0 |      |
| ...->...                              | ()                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:88:54:88:86                          |    0 |      |
| new HashMap<String,Object>(...)       | HashMap<String,Object>()       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:164:57:164:71                        |    0 |      |
| new HashMap<String,String>(...)       | HashMap<String,String>()       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:170:55:170:69                        |    0 |      |
| new HashMap<String,Object>(...)       | HashMap<String,Object>()       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:179:76:179:90                        |    0 |      |
| new HashMap<String,String>(...)       | HashMap<String,String>()       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:211:57:211:71                        |    0 |      |
| new HashMap<String,String>(...)       | HashMap<String,String>()       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:258:48:258:62                        |    0 |      |
| new HashMap<String,String>(...)       | HashMap<String,String>()       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:308:41:308:55                        |    0 |      |
| ...->...                              | ()                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:333:54:333:96                        |    0 |      |
| ...->...                              | ()                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:338:54:338:93                        |    0 |      |
| ...->...                              | ()                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:343:50:343:100                       |    0 |      |
| ...->...                              | ()                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:355:54:355:83                        |    0 |      |
| ...->...                              | ()                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:360:54:360:83                        |    0 |      |
| ...->...                              | ()                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:372:54:372:95                        |    0 |      |
| new HashMap<String,String>(...)       | HashMap<String,String>()       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:381:57:381:71                        |    0 |      |
| new HashMap<String,String>(...)       | HashMap<String,String>()       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:428:48:428:62                        |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecutorTest.java:2:14:2:32                        |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/LogOutputStreamTest.java:2:14:2:32                        |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/PumpStreamHandlerTest.java:29:14:29:34                    |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/StandAloneTest.java:2:14:2:27                             |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/TestUtil.java:61:13:61:20                                 |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/TutorialTest.java:37:14:37:25                             |    0 |      |
| super(...)                            | DefaultExecuteResultHandler()  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/TutorialTest.java:47:16:47:33                             |    0 |      |
| new HashMap<String,File>(...)         | HashMap<String,File>()         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/TutorialTest.java:94:39:94:53                             |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/environment/EnvironmentUtilsTest.java:39:14:39:33         |    0 |      |
| new HashMap<String,String>(...)       | HashMap<String,String>()       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/environment/EnvironmentUtilsTest.java:111:41:111:55       |    0 |      |
| new HashMap<String,String>(...)       | HashMap<String,String>()       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/environment/EnvironmentUtilsTest.java:128:41:128:55       |    0 |      |
| new HashMap<String,String>(...)       | HashMap<String,String>()       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/environment/EnvironmentUtilsTest.java:140:41:140:55       |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec33Test.java:36:14:36:23                        |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec34Test.java:37:14:37:23                        |    0 |      |
| new DefaultExecuteResultHandler(...)  | DefaultExecuteResultHandler()  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec34Test.java:57:53:57:85                        |    0 |      |
| new DefaultExecuteResultHandler(...)  | DefaultExecuteResultHandler()  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec34Test.java:78:53:78:85                        |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec36Test.java:42:14:42:23                        |    0 |      |
| new ByteArrayOutputStream(...)        | ByteArrayOutputStream()        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec36Test.java:112:21:112:47                      |    0 |      |
| new HashMap<String,File>(...)         | HashMap<String,File>()         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec36Test.java:185:39:185:53                      |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec41Test.java:36:14:36:23                        |    0 |      |
| ...->...                              | ()                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec41Test.java:81:37:81:105                       |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec44Test.java:36:14:36:23                        |    0 |      |
| new DefaultExecuteResultHandler(...)  | DefaultExecuteResultHandler()  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec44Test.java:53:59:53:91                        |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec49Test.java:36:14:36:23                        |    0 |      |
| new PipedOutputStream(...)            | PipedOutputStream()            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec49Test.java:53:56:53:78                        |    0 |      |
| new DefaultExecuteResultHandler(...)  | DefaultExecuteResultHandler()  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec49Test.java:58:61:58:93                        |    0 |      |
| new PipedOutputStream(...)            | PipedOutputStream()            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec49Test.java:85:56:85:78                        |    0 |      |
