| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/ColognePhonetic.java:196:16:196:28                  |    0 |      |
| new HashMap<Character,List<Rule>>(...)          | HashMap<Character,List<Rule>>()          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:223:61:223:75            |    0 |      |
| new HashMap<Character,Character>(...)           | HashMap<Character,Character>()           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:226:63:226:77            |    0 |      |
| new (...)                                       | ()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:238:21:243:21            |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:238:25:238:40            |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:78:17:78:22              |    0 |      |
| new StringBuilder(...)                          | StringBuilder()                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:79:23:79:41              |    0 |      |
| new Branch(...)                                 | Branch()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:90:35:90:46              |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:160:19:160:22            |    0 |      |
| new ArrayList<Rule>(...)                        | ArrayList<Rule>()                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:326:37:326:53            |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:355:12:355:32            |    0 |      |
| new StringBuilder(...)                          | StringBuilder()                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:381:34:381:52            |    0 |      |
| new StringBuilder(...)                          | StringBuilder()                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:465:34:465:52            |    0 |      |
| new LinkedHashSet<Branch>(...)                  | LinkedHashSet<Branch>()                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:491:45:491:65            |    0 |      |
| new Branch(...)                                 | Branch()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:492:29:492:40            |    0 |      |
| new ArrayList<Branch>(...)                      | ArrayList<Branch>()                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java:509:33:509:55            |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java:57:12:57:26                    |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java:848:16:848:36                  |    0 |      |
