commons-pool.src.main.org.apache.commons.pool2.ObjectPool_python_partial.json, ObjectPool, 105-105:borrowObject, success, 4
commons-pool.src.main.org.apache.commons.pool2.ObjectPool_python_partial.json, ObjectPool, 69-69:addObject, success, 3
commons-pool.src.main.org.apache.commons.pool2.ObjectPool_python_partial.json, ObjectPool, 173-175:invalidateObject1, success, 4
commons-pool.src.main.org.apache.commons.pool2.ObjectPool_python_partial.json, ObjectPool, 78-82:addObjects, success, 4
commons-pool.src.main.org.apache.commons.pool2.KeyedPooledObjectFactory_python_partial.json, KeyedPooledObjectFactory, 135-135:validateObject, success, 2
commons-pool.src.main.org.apache.commons.pool2.KeyedPooledObjectFactory_python_partial.json, KeyedPooledObjectFactory, 125-125:passivateObject, failure, 3
commons-pool.src.main.org.apache.commons.pool2.KeyedPooledObjectFactory_python_partial.json, KeyedPooledObjectFactory, 114-114:makeObject, failure, 2
commons-pool.src.main.org.apache.commons.pool2.KeyedPooledObjectFactory_python_partial.json, KeyedPooledObjectFactory, 85-85:destroyObject0, success, 4
commons-pool.src.main.org.apache.commons.pool2.KeyedPooledObjectFactory_python_partial.json, KeyedPooledObjectFactory, 67-67:activateObject, success, 3
commons-pool.src.main.org.apache.commons.pool2.KeyedPooledObjectFactory_python_partial.json, KeyedPooledObjectFactory, 100-103:destroyObject1, success, 4
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 962-995:toStringAppendFields, success, 18
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 957-959:setTimeBetweenEvictionRunsMillis, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 878-880:setSoftMinEvictableIdleTimeMillis, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 834-836:setMinEvictableIdleTimeMillis, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 790-792:setMaxWaitMillis, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 721-723:setEvictorShutdownTimeoutMillis1, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 690-692:setEvictorShutdownTimeoutMillis0, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 634-636:getTimeBetweenEvictionRunsMillis, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 619-621:getTimeBetweenEvictionRuns, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 540-542:getSoftMinEvictableIdleTimeMillis, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 525-527:getSoftMinEvictableIdleTime, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 483-485:getMinEvictableIdleTimeMillis, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 469-471:getMinEvictableIdleTime, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 441-443:getMaxWaitMillis, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 359-361:getEvictorShutdownTimeoutMillis, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 332-334:getEvictorShutdownTimeout, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 941-944:setTimeBetweenEvictionRuns, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 927-929:setTestWhileIdle, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 915-917:setTestOnReturn, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 903-905:setTestOnCreate, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 890-892:setTestOnBorrow, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 861-865:setSoftMinEvictableIdleTime, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 847-849:setNumTestsPerEvictionRun, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 818-821:setMinEvictableIdleTime, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 804-806:setMaxWait, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 776-778:setLifo, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 764-766:setJmxNamePrefix, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 754-756:setJmxNameBase, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 743-745:setJmxEnabled, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 733-735:setFairness, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 704-708:setEvictorShutdownTimeout, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 674-676:setEvictionPolicyClassName, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 661-663:setEvictionPolicy, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 647-649:setBlockWhenExhausted, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 603-605:getDurationBetweenEvictionRuns, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 589-591:getTestWhileIdle, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 577-579:getTestOnReturn, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 565-567:getTestOnCreate, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.BaseObjectPoolConfig_python_partial.json, BaseObjectPoolConfig, 552-554:getTestOnBorrow, success, 2
