jansi.src.main.org.fusesource.jansi.internal.CLibrary_python_partial.json, Termios, 146-146:init, success, 3
jansi.src.main.org.fusesource.jansi.internal.CLibrary_python_partial.json, WinSize, 127-130:WinSize, success, 3
jansi.src.main.org.fusesource.jansi.internal.CLibrary_python_partial.json, WinSize, 118-118:init, success, 3
jansi.src.main.org.fusesource.jansi.internal.CLibrary_python_partial.json, CLibrary, 104-104:ioctl, success, 24
jansi.src.main.org.fusesource.jansi.internal.CLibrary_python_partial.json, CLibrary, 95-95:tcsetattr, success, 23
jansi.src.main.org.fusesource.jansi.internal.CLibrary_python_partial.json, CLibrary, 93-93:tcgetattr, success, 19
jansi.src.main.org.fusesource.jansi.internal.CLibrary_python_partial.json, CLibrary, 91-91:openpty, success, 18
jansi.src.main.org.fusesource.jansi.internal.CLibrary_python_partial.json, CLibrary, 77-77:ttyname, success, 3
jansi.src.main.org.fusesource.jansi.internal.CLibrary_python_partial.json, CLibrary, 75-75:isatty, success, 3
jansi.src.main.org.fusesource.jansi.internal.CLibrary_python_partial.json, CLibrary, 41-41:init, success, 10
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 93-100:toString, success, 7
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 84-90:uninstall, error, 4
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 80-82:install, error, 3
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 76-78:getTerminalWidth, success, 7
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 68-70:setResetAtUninstall, success, 2
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 64-66:isResetAtUninstall, success, 2
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 60-62:setMode, error, 8
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 56-58:getMode, success, 2
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 52-54:getColors, success, 2
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 48-50:getType, success, 2
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 44-46:getOut, error, 2
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 30-32:AnsiPrintStream, error, 4
jansi.src.main.org.fusesource.jansi.AnsiPrintStream_python_partial.json, AnsiPrintStream, 34-42:determineEncoding, success, 9
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Attribute, 116-118:toString, error, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Attribute, 120-122:value, error, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Attribute, 110-113:Attribute, error, 3
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Color, 57-59:toString, error, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Color, 77-79:bgBright, error, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Color, 73-75:fgBright, error, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Color, 69-71:bg, error, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Color, 65-67:fg, error, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Color, 61-63:value, error, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Color, 51-54:Color, error, 3
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Erase, 145-147:toString, error, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Erase, 149-151:value, error, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Erase, 139-142:Erase, error, 3
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Consumer, 156-156:apply, success, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 990-992:append, success, 1
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 979-981:append, success, 1
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 968-970:append, success, 1
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 908-911:toString, failure, 4
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 728-730:restorCursorPosition, success, 4
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 994-998:append2, success, 3
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 983-987:append1, success, 3
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 972-976:append0, success, 3
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 902-905:render1, success, 6
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 888-891:render0, failure, 4
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 875-878:apply, failure, 3
